vod,rr5,rr4,rr3,rr2,rr1,br5,br4,br3,br2,br1,rp5,bp4,bp5,rp4,bb5,rb5,bb4,rb4,rp3,bp2,bp3,rp1,rp2,bp1,rb3,bb3,rb2,bb2,rb1,bb1,patch,winner,score,red,blue,phase,region
https://youtu.be/1c0Id0sz8W8?t=12243,jungle,support,mid,top,bot,mid,top,support,bot,jungle,sejuani,gwen,azir,rakan,trundle,fiora,vi,sylas,rumble,aphelios,nautilus,zeri,renekton,wukong,sivir,tahm kench,kalista,poppy,ahri,yuumi,12.14,1,3 - 1,Impunity,Frank Esports,Round 1,PCS
https://youtu.be/G87F_mbSxKI?t=138,mid,top,support,bot,jungle,mid,top,support,jungle,bot,orianna,renekton,rumble,camille,fiora,seraphine,jax,zilean,nami,vi,nautilus,wukong,lucian,zeri,kalista,aphelios,poppy,sylas,sivir,ahri,12.14,1,1 - 2,Frank Esports,Impunity,Round 1,PCS
https://youtu.be/oIsjdFp5HcM?t=195,mid,top,support,bot,jungle,mid,top,jungle,support,bot,akali,kennen,yone,camille,leblanc,ornn,jax,sejuani,renata glasc,amumu,vi,wukong,aphelios,kalista,yuumi,sylas,poppy,fiora,sivir,ahri,12.14,2,0 - 2,Frank Esports,Impunity,Round 1,PCS
https://youtu.be/eE-1jRtxtZk?t=535,support,top,bot,jungle,mid,mid,jungle,top,support,bot,leona,trundle,viktor,sejuani,braum,taliyah,kennen,leblanc,varus,amumu,jax,azir,wukong,kalista,sylas,tahm kench,ahri,poppy,fiora,yuumi,12.14,1,1 - 0,Impunity,Frank Esports,Round 1,PCS
https://youtu.be/rGQOxtHTeXg?t=9390,support,top,mid,jungle,bot,support,bot,top,jungle,mid,braum,samira,nautilus,camille,kennen,jinx,jax,lucian,ahri,pantheon,gwen,aphelios,viego,sylas,vi,mordekaiser,sivir,wukong,kalista,poppy,12.14,1,3 - 0,Meta Falcon Team,J Team,Round 1,PCS
https://youtu.be/8_ZGP4LrFcA?t=178,top,jungle,support,bot,mid,support,top,mid,jungle,bot,jax,gwen,leona,sejuani,lee sin,amumu,trundle,renata glasc,nautilus,viego,galio,sylas,aphelios,kalista,mordekaiser,wukong,sivir,vi,poppy,pantheon,12.14,2,0 - 2,J Team,Meta Falcon Team,Round 1,PCS
https://youtu.be/iHSQxst8xhQ?t=428,mid,top,support,bot,jungle,top,mid,support,jungle,bot,swain,ahri,gwen,renekton,sejuani,ornn,viktor,taliyah,tahm kench,vi,nami,wukong,aphelios,lucian,sivir,mordekaiser,sylas,azir,kalista,poppy,12.14,1,1 - 0,Meta Falcon Team,J Team,Round 1,PCS
https://youtu.be/XebJAw93UUE?t=162,top,mid,bot,jungle,support,support,mid,jungle,top,bot,mordekaiser,leblanc,leona,taliyah,gragas,yuumi,gwen,sylas,aphelios,camille,wukong,nautilus,viego,zeri,sivir,kalista,fiora,poppy,ahri,azir,12.14,2,1 - 3,CTBC Flying Oyster,Frank Esports,Round 1,PCS
https://youtu.be/Mb1bnKwixyY?t=146,mid,jungle,top,support,bot,support,top,bot,mid,jungle,orianna,gragas,renataglasc,wukong,trundle,gnar,nocturne,renekton,jax,taliyah,aphelios,zeri,nautilus,poppy,sivir,sylas,azir,fiora,kalista,ahri,12.14,1,2 - 1,Frank Esports,CTBC Flying Oyster,Round 1,PCS
https://youtu.be/tX2-PcnTLXU?t=165,support,top,mid,bot,jungle,mid,jungle,support,top,bot,braum,nocturne,sylas,renekton,lulu,viego,tahm kench,trundle,viktor,camille,nautilus,wukong,aphelios,sivir,jax,kalista,fiora,poppy,ahri,azir,12.14,1,1 - 1,CTBC Flying Oyster,Frank Esports,Round 1,PCS
https://youtu.be/lx9C894YBYM?t=551,mid,jungle,support,top,bot,top,mid,support,bot,jungle,sylas,viktor,gwen,xin zhao,viego,taliyah,trundle,renekton,tahm kench,aphelios,nautilus,zeri,camille,poppy,sivir,wukong,azir,fiora,kalista,ahri,12.14,1,1 - 0,Frank Esports,CTBC Flying Oyster,Round 1,PCS
https://youtu.be/XwybdYFb7Es?t=170,support,top,mid,jungle,bot,support,top,mid,bot,jungle,braum,gragas,nautilus,renekton,ornn,camille,tahm kench,gwen,azir,aphelios,sylas,zeri,xinzhao,vi,sivir,lucian,kalista,yuumi,wukong,pantheon,12.14,1,3 - 1,J Team,Beyond Gaming,Round 1,PCS
https://youtu.be/U0uCahvMFvw?t=188,top,support,bot,jungle,mid,top,support,jungle,mid,bot,fiora,tahm kench,ornn,leona,rakan,renekton,camille,nautilus,zeri,sylas,pantheon,ahri,vi,sivir,poppy,leblanc,lucian,wukong,kalista,gwen,12.14,1,1 - 2,Beyond Gaming,J Team,Round 1,PCS
https://youtu.be/Dg1TPbTwDMM?t=476,top,support,mid,jungle,bot,top,support,bot,jungle,mid,fiora,renata glasc,sejuani,nautilus,camille,renekton,tahm kench,alistar,orianna,vi,zeri,sivir,wukong,taliyah,ahri,leblanc,lucian,sylas,kalista,gwen,12.14,2,0 - 2,Beyond Gaming,J Team,Round 1,PCS
https://youtu.be/7uXlEkDzqyw?t=567,top,support,mid,bot,jungle,jungle,top,support,bot,mid,camille,ornn,xinzhao,leona,rakan,renekton,nautilus,vi,leblanc,zeri,alistar,wukong,sivir,ahri,poppy,akali,lucian,sylas,kalista,gwen,12.14,2,0 - 1,Beyond Gaming,J Team,Round 1,PCS
